Initialize Function succeded
Inside CPU 0.000000
Inside CPU 0.050000
Inside CPU 0.100000
Inside CPU 0.150000
Inside CPU 0.200000
Inside CPU 0.250000
Inside CPU 0.300000
Inside CPU 0.350000
Inside CPU 0.400000
Inside CPU 0.450000
Inside CPU 0.500000
Inside CPU 0.550000
Inside CPU 0.600000
Inside CPU 0.650000
Inside CPU 0.700000
Inside CPU 0.750000
Inside CPU 0.800000
Inside CPU 0.850000
Inside CPU 0.900000
Inside CPU 0.950000
Inside CPU 1.000000
Inside CPU 1.050000
Inside CPU 1.100000
Inside CPU 1.150000
Inside CPU 1.200000
Inside CPU 1.250000
Inside CPU 1.300000
Inside CPU 1.350000
Inside GPU 1.400000
Inside GPU 1.450000
Inside GPU 1.500000
Inside GPU 1.550000
Inside GPU 1.600000
Inside GPU 1.649999
Inside GPU 1.699999
Inside GPU 1.749999
Inside GPU 1.799999
Inside GPU 1.849999
Inside GPU 1.899999
Inside GPU 1.949999
Inside GPU 1.999999
Inside GPU 2.049999
Inside GPU 2.099999
Inside GPU 2.149999
Inside GPU 2.199999
Inside GPU 2.249999
Inside GPU 2.299999
Inside GPU 2.349999
Inside GPU 2.399999
Inside GPU 2.449999
Inside GPU 2.499999
Inside GPU 2.549999
Inside GPU 2.599999
Inside GPU 2.649999
Inside GPU 2.699999
Inside GPU 2.749999
Inside GPU 2.799999
Inside GPU 2.849998
Inside GPU 2.899998
Inside GPU 2.949998
Inside GPU 2.999998
Inside GPU 3.049998
Inside GPU 3.099998
Inside GPU 3.149998
Inside GPU 3.199998
Inside GPU 3.249998
Inside GPU 3.299998
Inside GPU 3.349998
Inside GPU 3.399998
Inside GPU 3.449998
Inside GPU 3.499998
Inside GPU 3.549998
Inside GPU 3.599998
Inside GPU 3.649998
Inside GPU 3.699998
Inside GPU 3.749998
Inside GPU 3.799998
Inside GPU 3.849998
Inside GPU 3.899997
Inside GPU 3.949997
Inside GPU 3.999997
Inside GPU 4.049997
Inside GPU 4.099998
Inside GPU 4.149998
Inside GPU 4.199998
Inside GPU 4.249998
Inside GPU 4.299998
Inside GPU 4.349998
Inside CPU 4.399999
Inside CPU 4.449999
Inside GPU 4.499999
Inside GPU 4.549999
Inside GPU 4.599999
Inside GPU 4.650000
Inside GPU 4.700000
Inside GPU 4.750000
Inside GPU 4.800000
Inside GPU 4.850000
Inside GPU 4.900001
Inside GPU 4.950001
Inside GPU 5.000001
